ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.53;311;403;175149;11:26:15.604939
0.55;310;403;178525;11:26:18.981155
0.53;311;403;178563;11:26:19.019823
0.55;310;403;178600;11:26:19.056246
0.55;310;403;178635;11:26:19.091293
0.54;310;403;178666;11:26:19.121780
0.54;310;403;178701;11:26:19.158075
0.55;310;403;178737;11:26:19.193379
0.54;310;403;178772;11:26:19.227701
0.54;310;403;178807;11:26:19.263176
0.54;310;403;178839;11:26:19.296137
0.59;307;400;178875;11:26:19.331665
0.58;307;400;178905;11:26:19.361263
0.6;306;400;178939;11:26:19.395146
0.57;307;400;178973;11:26:19.428903
0.58;307;400;179009;11:26:19.465926
