ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.57;303;397;321110;11:28:41.569333
0.54;304;398;324169;11:28:44.629422
0.53;304;398;324212;11:28:44.671801
0.56;304;398;324252;11:28:44.711720
0.54;304;398;324290;11:28:44.749657
0.55;304;398;324318;11:28:44.777629
0.54;304;398;324352;11:28:44.811842
0.54;304;398;324385;11:28:44.844989
0.54;304;398;324420;11:28:44.880460
0.55;304;398;324453;11:28:44.913465
0.57;303;397;324491;11:28:44.950557
0.58;302;396;324519;11:28:44.978721
0.57;302;396;324552;11:28:45.012199
0.57;302;396;324588;11:28:45.047782
0.57;302;396;324623;11:28:45.083427
0.57;302;395;324653;11:28:45.112402
0.57;302;396;324689;11:28:45.148728
0.57;302;396;324720;11:28:45.179897
0.59;301;395;324754;11:28:45.214172
0.59;301;395;324788;11:28:45.247233
0.59;301;395;324825;11:28:45.284343
