trial;more_rewarded_color;stimulus_choice;blue_position;orange_position;left_img_name;right_img_name;location_choice;keyboard_input;orange_reward;blue_reward;outcome;start_reaction_time;end_reaction_time;start_absolute_time;end_absolute_time
76;blue;orange;1;2;orange_8;blue_9;left;a;0;1;noeuro;354672;355866;11:29:15.132776;11:29:16.326340
77;blue;orange;2;1;blue_1;orange_3;right;l;0;1;noeuro;359162;359852;11:29:19.622816;11:29:20.312378
78;blue;blue;2;1;blue_4;orange_3;left;a;1;0;noeuro;361758;362580;11:29:22.218568;11:29:23.041380
79;blue;orange;1;2;orange_2;blue_8;left;a;0;1;noeuro;365217;365788;11:29:25.677832;11:29:26.249726
80;blue;orange;2;1;blue_6;orange_4;right;l;0;1;noeuro;368441;368925;11:29:28.902220;11:29:29.386833
81;blue;orange;1;2;orange_6;blue_3;left;a;0;1;noeuro;371397;372089;11:29:31.858773;11:29:32.550480
82;blue;orange;1;2;orange_8;blue_7;left;a;1;0;euro;374284;375007;11:29:34.744390;11:29:35.467718
83;blue;blue;2;1;blue_6;orange_4;left;a;0;1;euro;377970;378606;11:29:38.431877;11:29:39.067472
84;blue;orange;1;2;orange_3;blue_7;left;a;0;1;noeuro;381682;382416;11:29:42.143363;11:29:42.877479
85;blue;orange;2;1;blue_1;orange_7;right;l;0;1;noeuro;384946;385833;11:29:45.407353;11:29:46.294151
86;blue;orange;1;2;orange_3;blue_3;left;a;0;1;noeuro;388441;389202;11:29:48.902793;11:29:49.663151
87;blue;blue;1;2;orange_7;blue_4;right;l;0;1;euro;392283;392782;11:29:52.744547;11:29:53.243801
88;blue;blue;1;2;orange_1;blue_5;right;l;0;1;euro;395488;396186;11:29:55.949863;11:29:56.646974
89;blue;orange;2;1;blue_6;orange_6;right;l;0;1;noeuro;398670;399274;11:29:59.131994;11:29:59.735523
90;blue;orange;2;1;blue_7;orange_3;right;l;1;0;euro;402395;402989;11:30:02.855998;11:30:03.450645
91;blue;blue;2;1;blue_8;orange_6;left;a;1;0;noeuro;405009;405530;11:30:05.470842;11:30:05.991994
92;blue;orange;2;1;blue_4;orange_7;right;l;0;1;noeuro;407889;408483;11:30:08.350352;11:30:08.944287
93;blue;blue;1;2;orange_6;blue_6;right;l;0;1;euro;410673;411263;11:30:11.134811;11:30:11.724047
94;blue;blue;1;2;orange_7;blue_7;right;l;0;1;euro;413217;413909;11:30:13.678689;11:30:14.371408
95;blue;orange;2;1;blue_8;orange_7;right;l;1;0;euro;416689;417227;11:30:17.150826;11:30:17.688571
96;blue;blue;2;1;blue_3;orange_3;left;a;1;0;noeuro;420210;420727;11:30:20.671941;11:30:21.189050
97;blue;blue;1;2;orange_2;blue_9;right;l;0;1;euro;423684;424459;11:30:24.145952;11:30:24.921111
98;blue;orange;2;1;blue_9;orange_3;right;l;0;1;noeuro;427089;427663;11:30:27.551476;11:30:28.125599
99;blue;blue;2;1;blue_7;orange_4;left;a;0;1;euro;430107;430621;11:30:30.568905;11:30:31.083022
100;blue;orange;1;2;orange_3;blue_9;left;a;0;1;noeuro;432600;433698;11:30:33.061392;11:30:34.159826
