ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.6;310;398;232420;11:46:26.094054
0.55;313;401;234849;11:46:28.523294
0.55;313;402;234895;11:46:28.569042
0.55;313;401;234941;11:46:28.614369
0.55;313;402;234970;11:46:28.643368
0.55;313;402;235013;11:46:28.686323
0.55;313;402;235039;11:46:28.712242
0.55;313;402;235080;11:46:28.753413
0.56;313;402;235104;11:46:28.777546
0.57;312;401;235147;11:46:28.820360
0.58;311;399;235182;11:46:28.855267
0.59;311;399;235207;11:46:28.881449
0.58;311;399;235250;11:46:28.923785
0.58;311;399;235274;11:46:28.947530
0.59;311;399;235313;11:46:28.986000
0.59;311;400;235341;11:46:29.014408
0.59;311;400;235385;11:46:29.058029
0.58;311;400;235407;11:46:29.081057
0.58;311;400;235448;11:46:29.121956
0.59;311;400;235486;11:46:29.160324
0.58;311;400;235540;11:46:29.213546
0.58;311;400;235566;11:46:29.239490
0.58;311;400;235598;11:46:29.271688
