ratio;left_eye_coordinate;right_eye_coordinate;time;absolute_time
0.6;313;407;294326;11:47:28.000110
0.56;316;410;296502;11:47:30.177207
0.56;316;410;296552;11:47:30.226966
0.55;316;410;296602;11:47:30.275875
0.55;316;410;296659;11:47:30.333406
0.56;316;410;296719;11:47:30.393824
0.49;320;414;296778;11:47:30.451815
0.49;320;414;296817;11:47:30.491269
0.49;320;413;296849;11:47:30.523562
0.49;320;414;296886;11:47:30.560854
0.49;320;413;296923;11:47:30.596783
0.49;320;414;296955;11:47:30.629201
0.49;320;414;296985;11:47:30.659118
0.49;320;414;297020;11:47:30.693710
0.49;320;414;297055;11:47:30.729176
0.5;320;414;297087;11:47:30.761712
0.5;320;414;297120;11:47:30.795152
0.5;320;414;297160;11:47:30.834045
0.49;320;414;297192;11:47:30.866497
0.54;317;411;297231;11:47:30.906021
