trial;more_rewarded_color;stimulus_choice;blue_position;orange_position;left_img_name;right_img_name;location_choice;keyboard_input;orange_reward;blue_reward;outcome;start_reaction_time;end_reaction_time;start_absolute_time;end_absolute_time
126;blue;orange;1;2;orange_1;blue_5;left;a;1;0;euro;572137;573424;11:52:05.814732;11:52:07.102157
127;blue;orange;2;1;blue_1;orange_5;right;l;0;1;noeuro;575906;577276;11:52:09.584083;11:52:10.954249
128;blue;orange;2;1;blue_8;orange_4;right;l;0;1;noeuro;579260;580853;11:52:12.937390;11:52:14.530568
129;blue;blue;1;2;orange_3;blue_6;right;l;0;1;euro;583720;586224;11:52:17.398226;11:52:19.902448
130;blue;blue;1;2;orange_4;blue_1;right;l;0;1;euro;589175;589818;11:52:22.852353;11:52:23.495817
131;blue;blue;2;1;blue_2;orange_8;left;a;0;1;euro;592721;593187;11:52:26.399236;11:52:26.865038
132;blue;blue;1;2;orange_2;blue_4;right;l;0;1;euro;595695;596265;11:52:29.373005;11:52:29.943212
133;blue;blue;1;2;orange_8;blue_1;right;l;0;1;euro;598898;599535;11:52:32.575448;11:52:33.212519
134;blue;blue;2;1;blue_4;orange_8;left;a;0;1;euro;602536;603128;11:52:36.213447;11:52:36.806098
135;blue;blue;2;1;blue_1;orange_9;left;a;1;0;noeuro;605938;606645;11:52:39.616557;11:52:40.323824
136;blue;blue;1;2;orange_8;blue_1;right;l;0;1;euro;609646;610388;11:52:43.324902;11:52:44.066637
137;blue;blue;1;2;orange_7;blue_7;right;l;0;1;euro;612282;612894;11:52:45.959532;11:52:46.572904
138;blue;blue;2;1;blue_9;orange_7;left;a;0;1;euro;614999;616720;11:52:48.677519;11:52:50.398996
139;blue;blue;2;1;blue_8;orange_4;left;a;0;1;euro;619108;620323;11:52:52.786524;11:52:54.001450
140;blue;blue;2;1;blue_7;orange_3;left;a;0;1;euro;623301;624361;11:52:56.979497;11:52:58.039172
141;blue;blue;2;1;blue_6;orange_5;left;a;0;1;euro;626506;627106;11:53:00.185209;11:53:00.784622
142;blue;blue;2;1;blue_9;orange_7;left;a;0;1;euro;629230;631039;11:53:02.907792;11:53:04.717972
143;blue;orange;1;2;orange_3;blue_3;left;a;0;1;noeuro;633247;635403;11:53:06.925703;11:53:09.081671
144;blue;blue;1;2;orange_3;blue_8;right;l;1;0;noeuro;638237;640116;11:53:11.914911;11:53:13.794874
145;blue;orange;1;2;orange_1;blue_6;left;a;0;1;noeuro;643433;644273;11:53:17.111528;11:53:17.951728
146;blue;orange;2;1;blue_8;orange_5;right;l;0;1;noeuro;647358;648627;11:53:21.036963;11:53:22.305670
147;blue;blue;1;2;orange_2;blue_7;right;l;0;1;euro;651119;651936;11:53:24.797309;11:53:25.614660
148;blue;blue;2;1;blue_1;orange_8;left;a;0;1;euro;654536;655097;11:53:28.214673;11:53:28.775749
149;blue;blue;1;2;orange_1;blue_1;right;l;0;1;euro;657350;658397;11:53:31.029230;11:53:32.076520
150;blue;blue;1;2;orange_8;blue_7;right;l;0;1;euro;660512;661603;11:53:34.190380;11:53:35.281864
